language,repo,path,func_name,original_code,original_comment,code_token_length
javascript,mourner/rbush,index.js,calcBBox,"function calcBBox(node, toBBox) {
    distBBox(node, 0, node.children.length, toBBox, node);
}",calculate node's bbox from bboxes of its children,26
javascript,devyumao/angular2-busy,demo/asset/js/main.js,,"function(module, exports, __webpack_require__) {

	""use strict"";
	var __decorate = (this && this.__decorate) || function (decorators, target, key, desc) {
	    var c = arguments.length, r = c < 3 ? target : desc === null ? desc = Object.getOwnPropertyDescriptor(target, key) : desc, d;
	    if (typeof Reflect === ""object"" && typeof Reflect.decorate === ""function"") r = Reflect.decorate(decorators, target, key, desc);
	    else for (var i = decorators.length - 1; i >= 0; i--) if (d = decorators[i]) r = (c < 3 ? d(r) : c > 3 ? d(target, key, r) : d(target, key)) || r;
	    return c > 3 && r && Object.defineProperty(target, key, r), r;
	};
	Object.defineProperty(exports, ""__esModule"", { value: true });
	var core_1 = __webpack_require__(4);
	var platform_browser_1 = __webpack_require__(38);
	var http_1 = __webpack_require__(40);
	var forms_1 = __webpack_require__(41);
	var animations_1 = __webpack_require__(47);
	var __1 = __webpack_require__(50);
	// import {BusyModule, BusyConfig} from 'angular2-busy';
	var app_component_1 = __webpack_require__(60);
	var github_corner_1 = __webpack_require__(63);
	var header_1 = __webpack_require__(67);
	var options_1 = __webpack_require__(71);
	var table_1 = __webpack_require__(76);
	var AppModule = (function () {
	    function AppModule() {
	    }
	    return AppModule;
	}());
	AppModule = __decorate([
	    core_1.NgModule({
	        imports: [
	            platform_browser_1.BrowserModule,
	            forms_1.FormsModule,
	            http_1.HttpModule,
	            __1.BusyModule,
	            animations_1.BrowserAnimationsModule
	            // BusyModule.forRoot(new BusyConfig({
	            //     message: 'test',
	            //     backdrop: false
	            // }))
	        ],
	        declarations: [
	            app_component_1.AppComponent,
	            github_corner_1.GithubCornerComponent,
	            header_1.HeaderComponent,
	            options_1.OptionsComponent,
	            table_1.TableComponent
	        ],
	        bootstrap: [app_component_1.AppComponent]
	    })
	], AppModule);
	exports.AppModule = AppModule;


/***/ }",/* 39,391
javascript,neyric/webhookit,public/javascripts/yui/datasource/datasource-debug.js,,"function(nId) {
    // Remove from tracker if there
    var tracker = this._aIntervals || [];
    for(var i=tracker.length-1; i>-1; i--) {
        if(tracker[i] === nId) {
            tracker.splice(i,1);
            clearInterval(nId);
        }
    }
}","Disables polling mechanism associated with the given interval ID.

@method clearInterval
@param nId {Number} Interval ID.",63
javascript,danigb/smplr,packages/audio-pack/index.js,encode,"function encode (filename) {
  var ext = path.extname(filename)
  var data = fs.readFileSync(filename)
  var prefix = 'data:audio/' + ext.substring(1) + ';base64,'
  var encoded = new Buffer(data).toString('base64')
  return prefix + encoded
}",Encode an audio file using base64,55
javascript,SimonRichardson/squishy-pants,src/squishy.js,flip,"function flip(f) {
    return curry(function(a, b) {
        var args = rest(arguments).slice(2);

        return f.apply(null, [b, a].concat(args));
    });
}",## flip(a)  Flip the first two arguments of a functions arguments.,52
javascript,cytoscape/cytoscape.js,dist/cytoscape.esm.js,headlessStep,"function headlessStep() {
      if (!cy._private.animationsRunning) {
        return;
      }

      requestAnimationFrame(function animationStep(now$$1) {
        stepAll(now$$1, cy);
        headlessStep();
      });
    }",save cycles when no style used NB the animation loop will exec in headless environments if style enabled and explicit cy.destroy() is necessary to stop the loop,41
javascript,mozilla/protocol,gulpfile.js/tasks/watch.js,watchTask,"function watchTask() {
    gulp.watch(config.watchers.static, copyStaticFiles);
    gulp.watch(config.watchers.css, gulp.series(lintCSS, compileSass));
    gulp.watch(config.watchers.js, gulp.series(lintJS, concatJS, copyJS));
    gulp.watch(config.watchers.drizzle, drizzleTask);
}",Watch files for changes & rebuild.,74
javascript,noderaider/repackage,jspm_packages/system-polyfills.src.js,formatError,"function formatError(e) {
		var s = typeof e === 'object' && e !== null && (e.stack || e.message) ? e.stack || e.message : formatObject(e);
		return e instanceof Error ? s : s + ' (WARNING: non-Error used)';
	}","Format an error into a string.  If e is an Error and has a stack property,
it's returned.  Otherwise, e is formatted using formatObject, with a
warning added about e not being a proper Error.
@param {*} e
@returns {String} formatted string, suitable for output to developers",53
javascript,ecomfe/okam,packages/okam-build/lib/processor/js/polyfill/helper.js,shouldPolyfill,"function shouldPolyfill(importName, name, path) {
    let result;
    if (Array.isArray(importName)) {
        result = importName.some(item => (item === name));
    }
    else {
        result = importName === name;
    }

    // ignore global variable, e.g., Array/Number/Promise etc.
    return result && !path.scope.hasBinding(name, true);
}","Check given the variable name whether need to polyfill

@inner
@param {string} importName the variable name to polyfill
@param {string} name current variable name
@param {Object} path the node path
@return {boolean}",65
javascript,jaywcjlove/linux-command,template/js/index.js,,"function (name) {
      var reg = new RegExp(""(^|&)"" + name + ""=([^&]*)(&|$)"", ""i"");
      var r = decodeURIComponent(window.location.hash.replace(/^(\#\!|\#)/, '')).match(reg);
      if (r != null) return unescape(r[2]); return null;
    }",获取URL上面的参数,65
javascript,HerbertKarajan/gcomp,src/gcomp.js,,"function (templates, metadata, callback) {

        templates = templates || '';
        metadata = metadata || {};
        callback = callback || function () {};

        var error = null;

        var runtimeCode = runtime({
            type: this.options.type,
            helpers: this._helpersCode,
            templates: templates
        });


        runtimeCode = this._setMetadata(runtimeCode, metadata);

        if (this.options.output !== false) {
            try {
                this._fsMkdir(path.dirname(this.runtime));
                fs.writeFileSync(this.runtime, runtimeCode, this.options.charset);
            } catch (e) {
                error = e;
            }


            if (this.options.debug) {
                this._beautify(this.runtime);
            }

            if (!this.options.debug && this.options.minify) {
                this._minify(this.runtime);
            }
        }

        callback.call(this, error, runtimeCode);
    }",编译运行时,187
javascript,particle-iot/spark-protocol,js/lib/utilities.js,,"function (left, right) {
        if (!left && !right) {
            return true;
        }
        var matches = true;

        for (var prop in right) {
            if (!right.hasOwnProperty(prop)) {
                continue;
            }
            matches &= (left[prop] == right[prop]);
        }
        return matches;
    }","Iterates over the properties of the right object, checking to make
sure the properties on the left object match.
@param left
@param right",66
javascript,shepherdwind/velocity.js,src/compile/references.js,,"function(property, baseRef) {
      var ast = property.id;
      var key;
      if (ast.type === 'references') {
        key = this.getReferences(ast);
      } else if (ast.type === 'integer') {
        key = ast.value;
      } else {
        key = ast.value;
      }

      return baseRef[key];
    }","$foo.bar[1] index求值
@private",69
javascript,casetext/fireproof,lib/demux.js,Demux,"function Demux(refs, limit) {

  if (!(this instanceof Fireproof.Demux)) {
    return new Fireproof.Demux(refs);
  } else if (arguments.length > 1 && !Array.isArray(refs)) {
    refs = Array.prototype.slice.call(arguments, 0);
  }

  this._limit = (limit !== undefined ? limit : true);
  this._refs = refs;
  this._positions = refs.reduce(function(positions, ref) {

    positions[ref.ref().toString()] = {
      name: undefined,
      priority: undefined
    };

    return positions;

  }, {});

  // we always want there to be a ""previous"" promise to hang operations from
  this._previousPromise = Fireproof.Promise.resolve([]);

  this._buffer = [];

}","A helper object for retrieving sorted Firebase objects from multiple
locations.
@constructor Fireproof.Demux
@static
@param {Array} refs a list of Fireproof object references to draw from.
@param {boolean} [limitToFirst] Whether to use ""limitToFirst"" to restrict the length
of queries to Firebase. True by default. Set this to false if you want to
control the query more directly by setting it on the objects you pass to refs.",154
javascript,matrix-org/matrix-js-sdk,src/crypto/index.js,_maybeUploadOneTimeKeys,"function _maybeUploadOneTimeKeys(crypto) {
    // frequency with which to check & upload one-time keys
    const uploadPeriod = 1000 * 60; // one minute

    // max number of keys to upload at once
    // Creating keys can be an expensive operation so we limit the
    // number we generate in one go to avoid blocking the application
    // for too long.
    const maxKeysPerCycle = 5;

    if (crypto._oneTimeKeyCheckInProgress) {
        return;
    }

    const now = Date.now();
    if (crypto._lastOneTimeKeyCheck !== null &&
        now - crypto._lastOneTimeKeyCheck < uploadPeriod
       ) {
        // we've done a key upload recently.
        return;
    }

    crypto._lastOneTimeKeyCheck = now;

    // We need to keep a pool of one time public keys on the server so that
    // other devices can start conversations with us. But we can only store
    // a finite number of private keys in the olm Account object.
    // To complicate things further then can be a delay between a device
    // claiming a public one time key from the server and it sending us a
    // message. We need to keep the corresponding private key locally until
    // we receive the message.
    // But that message might never arrive leaving us stuck with duff
    // private keys clogging up our local storage.
    // So we need some kind of enginering compromise to balance all of
    // these factors.

    // Check how many keys we can store in the Account object.
    const maxOneTimeKeys = crypto._olmDevice.maxNumberOfOneTimeKeys();
    // Try to keep at most half that number on the server. This leaves the
    // rest of the slots free to hold keys that have been claimed from the
    // server but we haven't recevied a message for.
    // If we run out of slots when generating new keys then olm will
    // discard the oldest private keys first. This will eventually clean
    // out stale private keys that won't receive a message.
    const keyLimit = Math.floor(maxOneTimeKeys / 2);

    function uploadLoop(keyCount) {
        if (keyLimit <= keyCount) {
            // If we don't need to generate any more keys then we are done.
            return Promise.resolve();
        }

        const keysThisLoop = Math.min(keyLimit - keyCount, maxKeysPerCycle);

        // Ask olm to generate new one time keys, then upload them to synapse.
        return crypto._olmDevice.generateOneTimeKeys(keysThisLoop).then(() => {
            return _uploadOneTimeKeys(crypto);
        }).then((res) => {
            if (res.one_time_key_counts && res.one_time_key_counts.signed_curve25519) {
                // if the response contains a more up to date value use this
                // for the next loop
                return uploadLoop(res.one_time_key_counts.signed_curve25519);
            } else {
                throw new Error(""response for uploading keys does not contain ""
                              + ""one_time_key_counts.signed_curve25519"");
            }
        });
    }

    crypto._oneTimeKeyCheckInProgress = true;
    Promise.resolve().then(() => {
        if (crypto._oneTimeKeyCount !== undefined) {
            // We already have the current one_time_key count from a /sync response.
            // Use this value instead of asking the server for the current key count.
            return Promise.resolve(crypto._oneTimeKeyCount);
        }
        // ask the server how many keys we have
        return crypto._baseApis.uploadKeysRequest({}, {
            device_id: crypto._deviceId,
        }).then((res) => {
            return res.one_time_key_counts.signed_curve25519 || 0;
        });
    }).then((keyCount) => {
        // Start the uploadLoop with the current keyCount. The function checks if
        // we need to upload new keys or not.
        // If there are too many keys on the server then we don't need to
        // create any more keys.
        return uploadLoop(keyCount);
    }).catch((e) => {
        logger.error(""Error uploading one-time keys"", e.stack || e);
    }).finally(() => {
        // reset _oneTimeKeyCount to prevent start uploading based on old data.
        // it will be set again on the next /sync-response
        crypto._oneTimeKeyCount = undefined;
        crypto._oneTimeKeyCheckInProgress = false;
    }).done();
}","check if it's time to upload one-time keys, and do so if so.",376
javascript,flowxo/flowxo-sdk,tasks/lib/run.js,,"function(callback) {

      // If it's a webhook, delegate off
      if(method.type === 'webhook') {
        return RunUtil.runWebhook(grunt, options, method, callback);
      }

      // Otherwise, run the method
      runner.run(method.slug, 'run', { input: filteredInputs }, callback);
    }",run.js,51
javascript,request/aws-sign,index.js,hmacSha1,"function hmacSha1 (options) {
  return crypto.createHmac('sha1', options.secret).update(options.message).digest('base64')
}","Simple HMAC-SHA1 Wrapper

@param {Object} options
@return {String}
@api private",30
javascript,ArnaudBuchholz/gpf-js,make/coverage.js,,"function () {
        this._files = {};
        this._global = new _File();
        Object.keys(this._data).forEach(function (fileName) {
            var fileCoverage = this._computeFileCoverage(fileName);
            this._files[fileCoverage.name] = fileCoverage;
            this._global.statements.add(fileCoverage.statements);
            this._global.functions.add(fileCoverage.functions);
            this._global.branches.add(fileCoverage.branches);
        }, this);
    }",Compute all coverages,102
javascript,bitovi/funcunit,site/examples/resources/funcunit.js,,"function(){
		var documentFound = false;

		// right after setting a new hash and reloading, IE barfs on this occassionally (only the first time)
		try {
			documentFound = ((FuncUnit.win.document !== currentDocument && // new document 
							!FuncUnit.win.___FUNCUNIT_OPENED) // hasn't already been marked loaded
							// covers opera case after you click a link, since document doesn't change in opera
							|| (currentHref != FuncUnit.win.location.href)) && // url is different 
							FuncUnit.documentLoaded(); // fully loaded
		} catch(e){}
		if(documentFound){
			// reset flags
			lookingForNewDocument = false;
			currentDocument = FuncUnit.win.document;
			currentHref = FuncUnit.win.location.href;
			
			// mark it as opened
			FuncUnit.win.___FUNCUNIT_OPENED = true;
			// reset confirm, prompt, alert
			FuncUnit._opened();
		}
		
		return documentFound;
	}",return true if new document found,112
javascript,OpenSmartEnvironment/ose,lib/deps.js,init,"function init(names) {  // {{{2
/**
 * Class constructor
 *
 * @method constructor
 */

  this.count = 0;
  this.deps = {};
  this.groups = {};
  this.cb = null;

  if (! names) return;

  this.add(names[0], function(cb) { cb() });
  for (var i = 1; i < names.length; i++) {
    this.add(names[i], names[i-1], function(cb) { cb() });
  }

  return;
}","@caption Dependencies

@readme
Dependencies make it possible to carry out asynchronous operations
in a specific order.

@class ose.lib.deps
@type class
@extends EventEmitter
 Public {{{1",109
javascript,Fovea/jackbone,jackbone.js,,"function () {

            // Note: Controllers are responsible of setting needRedraw.
            if (this.needRedraw) {

                // Create root element for the page
                var page = document.createElement('div');
                page.style.display = 'block';
                page.setAttribute('data-role', 'page');

                // Create, render and add the header
                if (this.header) {
                    var header = document.createElement('div');
                    header.setAttribute('data-role', 'header');
                    this.header.setElement(header);
                    this.header.render();
                    page.appendChild(header);
                }

                // Create the content element
                var content = document.createElement('div');
                content.setAttribute('data-role', 'content');
                content.className = 'content';

                // Render the content
                this.content.setElement(content);
                this.content.render();

                // Make sure content fills the screen to the top/bottom
                // when no header/footer are provided.
                if (!this.header) {
                    content.style.top = '0';
                }
                if (!this.footer) {
                    content.style.bottom = '0';
                }

                page.appendChild(content);

                // Create, render and add the footer
                if (this.footer) {
                    var footer = document.createElement('div');
                    footer.setAttribute('data-role', 'footer');
                    this.footer.setElement(footer);
                    this.footer.render();
                    page.appendChild(footer);
                }

                // Add the page into the DOM.
                if (this.el.firstChild) {
                    this.el.replaceChild(page, this.el.firstChild);
                }
                else {
                    this.el.appendChild(page);
                }
 
                this.needRedraw = false;
            }
        }","Default render. Sets header, content and footer.",277
javascript,homerjam/angular-scroll-magic,bower_components/gsap/src/uncompressed/TweenMax.js,,"function(e) {
				return !!(_SVGElement && typeof(e.getBBox) === ""function"" && e.getCTM && (!e.parentNode || (e.parentNode.getBBox && e.parentNode.getCTM)));
			}","Safari and Firefox both have some rendering bugs when applying CSS transforms to SVG elements, so default to using the ""transform"" attribute instead (users can override this).",47
javascript,strathausen/dracula,lib/algorithms/binary_heap_map.js,bubble_down,"function bubble_down(i) {
    var l = left(i);
    var r = right(i);

    /* as long as there are smaller children */
    while (tree[l] && tree[i][key] > tree[l][key] || tree[r] && tree[i][key] > tree[r][key]) {

      /* find smaller child */
      var child = tree[l] ? tree[r] ? tree[l][key] > tree[r][key] ? r : l : l : l;

      /* swap with smaller child with current element */
      tree[i] = tree.splice(child, 1, tree[i])[0];

      /* go up one level */
      i = child;
      l = left(i);
      r = right(i);
    }
  }","/* Helper function to swap elements with the smaller of their children
as long as there is one",150
javascript,melvincarvalho/rdf-shell,rdf.js,bin,"function bin() {
  rdf(process.argv, function(err, res) {
    if (Array.isArray(res)) {
      for (var i=0; i<res.length; i++) {
        console.log(res[i]);
      }
    } else {
      console.log(res);
    }
  });
}",rdf as a command,71
javascript,Mevrael/bunny,examples/validation/dist/index.js,sendFormWithFiles,"function sendFormWithFiles(form_el, on_success) {
        var on_error = arguments.length > 2 && arguments[2] !== undefined ? arguments[2] : null;
        var headers = arguments.length > 3 && arguments[3] !== undefined ? arguments[3] : { 'Content-Type': 'multipart/form-data' };

        this.sendForm(form_el, on_success, on_error, headers);
    }","Sends a form via ajax POST with header Content-Type: multipart/form-data which is required for file uploading
Data is automatically taken form all form input values

@param {object} form_el - Form document element
@param {callback(responseText)} on_success - callback for status code 200
@param {callback(responseText, responseStatusCode)} on_error = null - custom handler for non 200 status codes
@param {object} headers = {'Content-Type': 'multipart/form-data'} - key: value map of headers",72
javascript,CartoDB/carto-vl,src/renderer/viz/expressions/aggregation/viewport/ViewportAggCalculator.js,_getViewportExpressions,"function _getViewportExpressions (rootExpressions) {
    const viewportExpressions = [];

    function dfs (expr) {
        if (expr._isViewport) {
            viewportExpressions.push(expr);
        } else {
            expr._getChildren().map(dfs);
        }
    }

    rootExpressions.map(dfs);

    return viewportExpressions;
}","Perform a DFS (Depth First Search) through the expression tree collecting all viewport expressions.
This is a performance optimization to avoid doing DFS at each feature iteration",59
javascript,rethinkdb/horizon,examples/react-todo-app/dist/js/utils.js,,"function () {
			var newObj = {};
			for (var i = 0; i < arguments.length; i++) {
				var obj = arguments[i];
				for (var key in obj) {
					if (obj.hasOwnProperty(key)) {
						newObj[key] = obj[key];
					}
				}
			}
			return newObj;
		}","store: function (namespace, data) { if (data) { return localStorage.setItem(namespace, JSON.stringify(data)); }  var store = localStorage.getItem(namespace); return (store && JSON.parse(store)) || []; },",70
javascript,baidu/san,src/util/next-tick.js,nextTick,"function nextTick(fn, thisArg) {
    if (thisArg) {
        fn = bind(fn, thisArg);
    }
    nextTasks.push(fn);

    if (nextHandler) {
        return;
    }

    nextHandler = function () {
        var tasks = nextTasks.slice(0);
        nextTasks = [];
        nextHandler = null;

        for (var i = 0, l = tasks.length; i < l; i++) {
            tasks[i]();
        }
    };

    // 非标准方法，但是此方法非常吻合要求。
    /* istanbul ignore next */
    if (typeof setImmediate === 'function') {
        setImmediate(nextHandler);
    }
    // 用MessageChannel去做setImmediate的polyfill
    // 原理是将新的message事件加入到原有的dom events之后
    else if (typeof MessageChannel === 'function') {
        var channel = new MessageChannel();
        var port = channel.port2;
        channel.port1.onmessage = nextHandler;
        port.postMessage(1);
    }
    // for native app
    else if (isNativePromise) {
        Promise.resolve().then(nextHandler);
    }
    else {
        setTimeout(nextHandler, 0);
    }
}","在下一个时间周期运行任务

@inner
@param {Function} fn 要运行的任务函数
@param {Object=} thisArg this指向对象",182
javascript,ciena-blueplanet/bunsen-core,src/actions.js,getDefaults,"function getDefaults (value, path, model, resolveRef) {
  const schema = findSchema(model, path, resolveRef)
  const schemaDefault = _.clone(schema.default)

  if (model.type === 'object') {
    const subSchemaDefaults = {}
    _.forIn(schema.properties, function (subSchema, propName) {
      const defaults = getDefaults(
        value && value[propName],
        null,
        subSchema,
        resolveRef
      )
      if (defaults !== undefined) {
        subSchemaDefaults[propName] = defaults
      }
    })

    if (Object.keys(subSchemaDefaults).length > 0) {
      return _.defaults({}, schemaDefault, subSchemaDefaults)
    }
    return schemaDefault
  } else if (value !== undefined) {
    return value
  }
  return schemaDefault
}","Returns the value with defaults provided by the schema
@param {Object} value - a complex object/array (the bunsen form value)
@param {String} path - path to retrieve the sub schema of the model given
@param {Object} model - bunsen model schema
@param {Function} resolveRef - function to resolve references
@returns {Object} the value with defaults applied",141
javascript,cemtopkaya/kuark-db,lib/indeksleme.js,,"function (_ihale, _tahta_id) {

        if (_tahta_id && _tahta_id > 0) {

            f_ihaleyi_indexle(_ihale, _tahta_id);

        } else {
            //t�m tahtalar� �ek
            return db.tahta.f_db_tahta_tumu()
                .then(function (_arrTahtalar) {

                    //her biri i�inde d�n�p �r�n�n/kurumun/tahtan�n/kullan�c�n�n anahtarlar�na ba�l� sat�rlar� varsa ihale_id yi yaz ve indexle
                    var arrPromises = _.map(_arrTahtalar, function (_dbTahta) {
                        console.log(""tahtalar i�inde d�n�yoruz"");

                        return f_ihaleyi_indexle(_ihale, _dbTahta.Id)
                            .then(function () {
                                return _ihale;
                            });
                    });

                    return db.redis.dbQ.Q.all(arrPromises);
                })
                .then(function () {
                    return _ihale;
                });
        }
    }","�ekilen ihale konusu i�erisinde
tahta i�in tan�mlanm�� anahtar kelime olup olmad��� kontrol edilir. E�er varsa ihale id leri tutulur
@param {object} _ihale
@param {integer} _tahta_id
@returns {*}",121
javascript,babel/minify,packages/babel-plugin-minify-simplify/src/index.js,,"function(path) {
            const { node } = path;

            if (
              !path.parentPath.parentPath.isFunction() ||
              path.getSibling(path.key + 1).node
            ) {
              return;
            }

            if (!node.argument) {
              path.remove();
              return;
            }

            if (t.isUnaryExpression(node.argument, { operator: ""void"" })) {
              path.replaceWith(node.argument.argument);
            }
          }",Remove return if last statement with no argument. Replace return with `void` argument with argument.,90
javascript,EclairJS/eclairjs,server/src/main/resources/eclairjs/mllib/evaluation/RegressionMetrics.js,,"function (predictionAndObservations) {
        this.logger = Logger.getLogger(""RegressionMetrics_js"");
        var jvmObject;
        if (predictionAndObservations instanceof org.apache.spark.mllib.evaluation.RegressionMetrics) {
            jvmObject = predictionAndObservations;
        } else {
            jvmObject = new org.apache.spark.mllib.evaluation.RegressionMetrics(Utils.unwrapObject(predictionAndObservations).rdd());
        }


        JavaWrapper.call(this, jvmObject);

    }","Evaluator for regression.

@param predictionAndObservations an RDD of (prediction, observation) pairs.
@memberof module:eclairjs/mllib/evaluation
@classdesc
@param {module:eclairjs.RDD} predictionAndObservations
@class",81
javascript,openseadragon/openseadragon,src/navigator.js,,"function () {
        if ( this.viewport ) {
            var containerSize = new $.Point(
                    (this.container.clientWidth === 0 ? 1 : this.container.clientWidth),
                    (this.container.clientHeight === 0 ? 1 : this.container.clientHeight)
                );

            if ( !containerSize.equals( this.oldContainerSize ) ) {
                this.viewport.resize( containerSize, true );
                this.viewport.goHome(true);
                this.oldContainerSize = containerSize;
                this.drawer.clear();
                this.world.draw();
            }
        }
    }","Used to notify the navigator when its size has changed.
Especially useful when {@link OpenSeadragon.Options}.navigatorAutoResize is set to false and the navigator is resizable.
@function",114
javascript,tikonen/blog,slot5/js/slot.js,_check_slot,"function _check_slot(offset, result) {
        if (now - that.lastUpdate > SPINTIME) {
            var c = parseInt(Math.abs(offset / SLOT_HEIGHT)) % ITEM_COUNT;
            if (c == result) {
                if (result == 0) {
                    if (Math.abs(offset + (ITEM_COUNT * SLOT_HEIGHT)) < (SLOT_SPEED * 1.5)) {
                        return true; // done
                    }
                } else if (Math.abs(offset + (result * SLOT_HEIGHT)) < (SLOT_SPEED * 1.5)) {
                    return true; // done
                }
            }
        }
        return false;
    }",Check slot status and if spun long enough stop it on result,112
javascript,c9/architect,demos/calculator/plugins/calculator/calculator.js,basicAuth,"function basicAuth(checker, realm) {

        realm = realm || 'Authorization Required';
        
        function unauthorized(res) {
            res.writeHead(401, {
                'WWW-Authenticate': 'Basic realm=""' + realm + '""',
                'Content-Length': 13
            });
            res.end(""Unauthorized\n"");
        }

        function badRequest(res) {  
            res.writeHead(400, {
                ""Content-Length"": 12
            });
            res.end('Bad Request\n');
        }

        return function(req, res, next) {
            var authorization = req.headers.authorization;
            if (!authorization) return unauthorized(res);
            var parts = authorization.split(' ');
            var scheme = parts[0];
            var credentials = new Buffer(parts[1], 'base64').toString().split(':');
            if ('Basic' != scheme) return badRequest(res);
            checker(req, credentials[0], credentials[1], function (user) {
                if (!user) return unauthorized(res);
                req.remoteUser = user;
                next();
            });
        }
    }",Based loosly on basicAuth from Connect Checker takes username and password and returns a user if valid Will force redirect if requested over HTTP instead of HTTPS,204
